,map,agents,team,match_id,game_id
0,Ascent,Viper,Paper Rex,248276,137636
1,Ascent,Reyna,Paper Rex,248276,137636
2,Ascent,Raze,Paper Rex,248276,137636
3,Ascent,Harbor,Paper Rex,248276,137636
4,Ascent,Skye,Paper Rex,248276,137636
5,Ascent,Sova,Evil Geniuses,248276,137636
6,Ascent,Omen,Evil Geniuses,248276,137636
7,Ascent,Kayo,Evil Geniuses,248276,137636
8,Ascent,Killjoy,Evil Geniuses,248276,137636
9,Ascent,Jett,Evil Geniuses,248276,137636
0,Bind,Raze,Paper Rex,248276,137637
1,Bind,Brimstone,Paper Rex,248276,137637
2,Bind,Skye,Paper Rex,248276,137637
3,Bind,Harbor,Paper Rex,248276,137637
4,Bind,Reyna,Paper Rex,248276,137637
5,Bind,Viper,Evil Geniuses,248276,137637
6,Bind,Chamber,Evil Geniuses,248276,137637
7,Bind,Skye,Evil Geniuses,248276,137637
8,Bind,Raze,Evil Geniuses,248276,137637
9,Bind,Brimstone,Evil Geniuses,248276,137637
0,Pearl,Astra,Paper Rex,248276,137638
1,Pearl,Killjoy,Paper Rex,248276,137638
2,Pearl,Skye,Paper Rex,248276,137638
3,Pearl,Phoenix,Paper Rex,248276,137638
4,Pearl,Jett,Paper Rex,248276,137638
5,Pearl,Jett,Evil Geniuses,248276,137638
6,Pearl,Astra,Evil Geniuses,248276,137638
7,Pearl,Yoru,Evil Geniuses,248276,137638
8,Pearl,Sova,Evil Geniuses,248276,137638
9,Pearl,Killjoy,Evil Geniuses,248276,137638
0,Split,Omen,FNATIC,248282,137656
1,Split,Cypher,FNATIC,248282,137656
2,Split,Raze,FNATIC,248282,137656
3,Split,Skye,FNATIC,248282,137656
4,Split,Breach,FNATIC,248282,137656
5,Split,Killjoy,LOUD,248282,137656
6,Split,Breach,LOUD,248282,137656
7,Split,Skye,LOUD,248282,137656
8,Split,Astra,LOUD,248282,137656
9,Split,Raze,LOUD,248282,137656
0,Ascent,Sova,FNATIC,248282,137657
1,Ascent,Jett,FNATIC,248282,137657
2,Ascent,Omen,FNATIC,248282,137657
3,Ascent,Killjoy,FNATIC,248282,137657
4,Ascent,Kayo,FNATIC,248282,137657
5,Ascent,Sova,LOUD,248282,137657
6,Ascent,Jett,LOUD,248282,137657
7,Ascent,Kayo,LOUD,248282,137657
8,Ascent,Omen,LOUD,248282,137657
9,Ascent,Killjoy,LOUD,248282,137657
0,Haven,Sova,FNATIC,248282,137658
1,Haven,Jett,FNATIC,248282,137658
2,Haven,Astra,FNATIC,248282,137658
3,Haven,Killjoy,FNATIC,248282,137658
4,Haven,Breach,FNATIC,248282,137658
5,Haven,Jett,LOUD,248282,137658
6,Haven,Skye,LOUD,248282,137658
7,Haven,Killjoy,LOUD,248282,137658
8,Haven,Viper,LOUD,248282,137658
9,Haven,Harbor,LOUD,248282,137658
0,Ascent,Jett,Evil Geniuses,248283,137659
1,Ascent,Kayo,Evil Geniuses,248283,137659
2,Ascent,Sova,Evil Geniuses,248283,137659
3,Ascent,Omen,Evil Geniuses,248283,137659
4,Ascent,Killjoy,Evil Geniuses,248283,137659
5,Ascent,Killjoy,LOUD,248283,137659
6,Ascent,Jett,LOUD,248283,137659
7,Ascent,Kayo,LOUD,248283,137659
8,Ascent,Sova,LOUD,248283,137659
9,Ascent,Omen,LOUD,248283,137659
0,Lotus,Raze,Evil Geniuses,248283,137660
1,Lotus,Astra,Evil Geniuses,248283,137660
2,Lotus,Skye,Evil Geniuses,248283,137660
3,Lotus,Killjoy,Evil Geniuses,248283,137660
4,Lotus,Viper,Evil Geniuses,248283,137660
5,Lotus,Killjoy,LOUD,248283,137660
6,Lotus,Viper,LOUD,248283,137660
7,Lotus,Raze,LOUD,248283,137660
8,Lotus,Omen,LOUD,248283,137660
9,Lotus,Fade,LOUD,248283,137660
0,Pearl,Jett,Evil Geniuses,248283,137661
1,Pearl,Sova,Evil Geniuses,248283,137661
2,Pearl,Astra,Evil Geniuses,248283,137661
3,Pearl,Killjoy,Evil Geniuses,248283,137661
4,Pearl,Yoru,Evil Geniuses,248283,137661
5,Pearl,Viper,LOUD,248283,137661
6,Pearl,Jett,LOUD,248283,137661
7,Pearl,Killjoy,LOUD,248283,137661
8,Pearl,Skye,LOUD,248283,137661
9,Pearl,Harbor,LOUD,248283,137661
0,Split,Chamber,Evil Geniuses,248283,137662
1,Split,Skye,Evil Geniuses,248283,137662
2,Split,Viper,Evil Geniuses,248283,137662
3,Split,Astra,Evil Geniuses,248283,137662
4,Split,Raze,Evil Geniuses,248283,137662
5,Split,Raze,LOUD,248283,137662
6,Split,Skye,LOUD,248283,137662
7,Split,Astra,LOUD,248283,137662
8,Split,Breach,LOUD,248283,137662
9,Split,Killjoy,LOUD,248283,137662
0,Bind,Skye,Evil Geniuses,248283,137663
1,Bind,Chamber,Evil Geniuses,248283,137663
2,Bind,Brimstone,Evil Geniuses,248283,137663
3,Bind,Raze,Evil Geniuses,248283,137663
4,Bind,Viper,Evil Geniuses,248283,137663
5,Bind,Omen,LOUD,248283,137663
6,Bind,Viper,LOUD,248283,137663
7,Bind,Raze,LOUD,248283,137663
8,Bind,Skye,LOUD,248283,137663
9,Bind,Brimstone,LOUD,248283,137663
0,Split,Viper,Paper Rex,248277,137639
1,Split,Jett,Paper Rex,248277,137639
2,Split,Skye,Paper Rex,248277,137639
3,Split,Astra,Paper Rex,248277,137639
4,Split,Raze,Paper Rex,248277,137639
5,Split,Jett,Evil Geniuses,248277,137639
6,Split,Raze,Evil Geniuses,248277,137639
7,Split,Astra,Evil Geniuses,248277,137639
8,Split,Skye,Evil Geniuses,248277,137639
9,Split,Viper,Evil Geniuses,248277,137639
0,Ascent,Reyna,Paper Rex,248277,137640
1,Ascent,Kayo,Paper Rex,248277,137640
2,Ascent,Raze,Paper Rex,248277,137640
3,Ascent,Harbor,Paper Rex,248277,137640
4,Ascent,Viper,Paper Rex,248277,137640
5,Ascent,Kayo,Evil Geniuses,248277,137640
6,Ascent,Killjoy,Evil Geniuses,248277,137640
7,Ascent,Sova,Evil Geniuses,248277,137640
8,Ascent,Jett,Evil Geniuses,248277,137640
9,Ascent,Omen,Evil Geniuses,248277,137640
0,Bind,Breach,Paper Rex,248277,137641
1,Bind,Brimstone,Paper Rex,248277,137641
2,Bind,Yoru,Paper Rex,248277,137641
3,Bind,Skye,Paper Rex,248277,137641
4,Bind,Raze,Paper Rex,248277,137641
5,Bind,Raze,Evil Geniuses,248277,137641
6,Bind,Viper,Evil Geniuses,248277,137641
7,Bind,Chamber,Evil Geniuses,248277,137641
8,Bind,Skye,Evil Geniuses,248277,137641
9,Bind,Brimstone,Evil Geniuses,248277,137641
0,Lotus,Raze,Paper Rex,248277,137642
1,Lotus,Astra,Paper Rex,248277,137642
2,Lotus,Skye,Paper Rex,248277,137642
3,Lotus,Jett,Paper Rex,248277,137642
4,Lotus,Omen,Paper Rex,248277,137642
5,Lotus,Astra,Evil Geniuses,248277,137642
6,Lotus,Raze,Evil Geniuses,248277,137642
7,Lotus,Killjoy,Evil Geniuses,248277,137642
8,Lotus,Skye,Evil Geniuses,248277,137642
9,Lotus,Viper,Evil Geniuses,248277,137642
